2019,Institution_Name,Country,Classification,,,,,Academic_Reputation,Academic_Reputation_Rank,Employer_Reputation,Employer_Reputation_Rank,Faculty_Student,Faculty_Student_Rank,Citations_per_Faculty,Citations_per_Faculty_Rank,International_Faculty,International_Faculty_Rank,International_Students,International_Students_Rank,Overall_Score,Continent
27,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,XL,FC,VH,5,A,100,6,99.8,9,28.9,512,99.9,7,99.5,67,46.1,308,83.2,North America
28,UNIVERSITY OF TORONTO,Canada,XL,FC,VH,5,A,98.7,18,94,35,74.8,176,47.6,254,96.4,117,92.9,88,83,North America
29,THE UNIVERSITY OF MANCHESTER,United Kingdom,XL,FC,VH,5,A,94.6,33,98.5,20,76,168,51.2,221,93.2,144,98.8,46,82.9,Europe
30,PEKING UNIVERSITY,China,XL,FC,VH,5,A,99,16,99.8,10,64,229,69.4,103,68.2,251,53.8,268,82.6,Asia
31,KING'S COLLEGE LONDON (KCL),United Kingdom,L,FC,VH,5,A,87.7,47,83.2,65,85.1,118,59.9,159,98.6,86,99.7,31,82.5,Europe
32,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",United States,XL,FC,VH,4,A,100,8,99.1,17,41.8,372,92.4,29,56.1,310,42,336,81.9,North America
33,MCGILL UNIVERSITY,Canada,L,FC,VH,5,A,91.4,36,93.1,39,73,183,58.3,175,90.4,162,96.2,73,81.7,North America
34,NORTHWESTERN UNIVERSITY,United States,L,FC,VH,5,B,85,55,73.1,90,99.8,28,68.4,109,72,240,54.8,263,81.5,North America
35,KYOTO UNIVERSITY,Japan,L,FC,VH,5,A,98.6,22,93.2,38,95.7,57,56.6,184,17.4,568,18.2,544,81.2,Asia
36,SEOUL NATIONAL UNIVERSITY (SNU),South Korea,L,FC,VH,4,A,96.2,30,92.7,41,87.7,102,66.5,120,22.1,506,14,601+,80.6,Asia
37,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),Hong Kong,M,CO,VH,3,A,83.6,57,73,91,61.8,241,89,38,100,15,87.9,114,80.5,Asia
38,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,M,SP,VH,5,A,84.2,56,99.9,8,47,329,84.6,51,100,28,100,7,80.2,Europe
39,THE UNIVERSITY OF MELBOURNE,Australia,XL,FC,VH,5,A,99,15,98.8,19,26.5,548,76.4,76,97.6,103,99.9,24,80.1,Oceania
